0: Abalistes stellatus
1: Abudefduf sexfasciatus
2: Acanthurus sp
3: Acanthurus triostegus
4: Alepes vari
5: Caesio teres
6: Carangoides gymnostethus
7: Carcharhinus amblyrhynchos
8: Choerodon cauteroma
9: Chromis atripectoralis
10: Dascyllus aruanus
11: Epinephelus areolatus
12: Epinephelus bilobatus
13: Epinephelus fasciatus
14: Epinephelus multinotatus
15: Lethrinus atkinsoni
16: Lethrinus nebulosus
17: Lethrinus punctulatus
18: Lethrinus ravus
19: Lethrinus rubrioperculatus
20: Lutjanus bohar
21: Lutjanus gibbus
22: Lutjanus russellii
23: Lutjanus sebae
24: Lutjanus vitta
25: Naso fageni
26: Nemipterus furcosus
27: Odonus niger
28: Pentapodus porosus
29: Plectropomus spp
30: Pomacentrus coelestis
31: Siganus fuscescens
32: Thalassoma lunare
33: Thalassoma lutescens
